51.70;27.90;20.04;816;0
52.10;28.00;28.35;324;1
52.10;28.00;32.75;804;0
52.60;28.10;48.88;695;1
52.60;28.10;23.46;689;0
53.40;28.30;25.90;655;1
53.40;28.30;21.99;749;0
54.20;28.70;28.35;228;0
54.20;28.70;28.35;223;0
55.10;28.90;28.84;610;1
55.10;28.90;29.81;437;0
56.00;29.10;26.88;407;1
56.00;29.10;25.42;387;1
50.10;29.30;37.63;742;0
50.10;29.30;21.51;668;1
51.00;29.60;33.24;736;0
51.00;29.60;29.81;661;1
51.80;29.70;43.99;644;0
51.80;29.70;35.68;706;0
52.40;30.00;28.35;792;0
52.40;30.00;27.37;677;0
52.70;30.10;25.42;772;0
52.70;30.10;22.97;517;0
52.90;30.20;27.37;689;1
52.90;30.20;22.48;759;0
53.10;30.30;27.86;527;1
53.10;30.30;21.99;684;0
60.20;30.40;21.99;798;0
60.20;30.40;27.86;260;1
60.50;30.40;26.88;400;1
60.50;30.40;42.03;799;0
61.00;30.50;26.88;406;1
61.00;30.50;25.90;390;1
61.40;30.60;34.70;735;0
61.40;30.60;26.39;423;0
62.00;30.80;28.84;425;1
62.00;30.80;45.45;693;0
62.60;30.90;25.90;621;1
62.60;30.90;22.97;748;0
63.20;31.10;29.81;641;0
63.20;31.10;23.95;802;0
63.50;31.30;27.37;410;1
63.50;31.30;21.99;820;0
63.50;31.40;29.81;397;0
63.50;31.40;21.02;767;0
63.30;31.40;34.70;636;0
63.30;31.40;22.48;746;1
62.90;31.50;26.88;454;1
62.90;31.50;48.88;828;0
62.60;31.50;28.84;497;1
62.60;31.50;20.53;784;0
62.10;31.40;28.35;328;1
62.10;31.40;20.53;804;0
61.70;31.40;26.39;335;1
61.70;31.40;25.42;336;0
61.20;31.30;25.42;327;1
61.20;31.30;25.90;317;1
60.80;31.20;25.90;313;0
60.80;31.20;25.90;312;0
60.30;31.20;25.90;794;0
60.30;31.20;34.21;486;0
52.90;31.10;25.90;319;1
52.90;31.10;32.26;814;0
52.40;31.00;23.95;446;1
52.40;31.00;27.37;322;1
51.90;30.90;21.02;815;0
51.90;30.90;35.68;782;0
51.50;30.80;24.93;760;1
51.50;30.80;20.04;801;0
51.10;30.70;27.37;621;1
51.10;30.70;50.34;807;0
50.60;30.70;28.35;438;1
50.60;30.70;25.42;351;1
50.40;30.60;27.37;349;1
50.40;30.60;24.44;350;1
50.00;30.50;26.39;350;1
50.00;30.50;24.44;351;1
56.40;30.40;22.97;803;0
56.40;30.40;46.92;749;1
56.00;30.40;31.28;797;0
62.60;31.50;20.53;784;0
62.10;31.40;28.35;328;1
62.10;31.40;20.53;804;0
61.70;31.40;26.39;335;1
61.70;31.40;25.42;336;0
61.20;31.30;25.42;327;1
61.20;31.30;25.90;317;1
60.80;31.20;25.90;313;0
60.80;31.20;25.90;312;0
60.30;31.20;25.90;794;0
56.00;30.40;31.28;797;0
62.60;31.50;20.53;784;0
62.10;31.40;28.35;328;1
62.10;31.40;20.53;804;0
61.70;31.40;26.39;335;1
61.70;31.40;25.42;336;0
61.20;31.30;25.42;327;1
61.20;31.30;25.90;317;1
60.80;31.20;25.90;313;0
60.80;31.20;25.90;312;0
